diagnosis,recommended_drugs
Chronic Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"Major depressive disorder, recurrent - high anxiety levels","Venlafaxine, Duloxetine, Bupropion"
Severe Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"generalized anxiety disorder, poor sleep quality","Sertraline, Buspirone, Venlafaxine"
History of Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
chronic primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Bipolar II,"Lamotrigine, Lithium, Quetiapine"
chronic obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Chronic Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
assessment: restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Persistent depressive disorder (Dysthymia) - patient stable,"Citalopram, Sertraline, Mirtazapine"
Brief psychotic disorder - resistant to therapy,"Haloperidol, Risperidone, Olanzapine"
Alcohol withdrawal syndrome - experiencing hallucinations,"Chlordiazepoxide, Diazepam, Lorazepam"
Brief psychotic disorder - mood swings reported,"Haloperidol, Risperidone, Olanzapine"
Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"anorexia nervosa, experiencing hallucinations","Olanzapine, Fluoxetine, Mirtazapine"
"patient presents with major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
chronic schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
High risk of Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"brief psychotic disorder, needs dosage adjustment","Haloperidol, Risperidone, Olanzapine"
"social anxiety disorder, high anxiety levels","Sertraline, Propranolol, Venlafaxine"
history of schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"persistent depressive disorder (dysthymia), mood swings reported","Citalopram, Sertraline, Mirtazapine"
"binge-eating disorder, needs dosage adjustment","Lisdexamfetamine, Topiramate, Fluoxetine"
Suspected Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Suspected Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Autism spectrum disorder (irritability) - suicidal ideation present,"Risperidone, Aripiprazole, Guanfacine"
"suspected major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"chronic major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"acute stress disorder, resistant to therapy","Clonazepam, Propranolol, Hydroxyzine"
Attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Severe Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Narcolepsy - outpatient follow-up,"Modafinil, Armodafinil, Sodium oxybate"
"opioid withdrawal, agitated behavior","Buprenorphine, Methadone, Clonidine"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Nicotine dependence - suicidal ideation present,"Varenicline, Bupropion, Nicotine patch"
"seasonal affective disorder, patient stable","Bupropion, Fluoxetine, Sertraline"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
chronic cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Patient presents with Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Anorexia nervosa - requires hospitalization,"Olanzapine, Fluoxetine, Mirtazapine"
Confirmed Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"nervousness or severe stress, experiencing hallucinations","Hydroxyzine, Buspirone, Propranolol"
"Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
assessment: binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Post-traumatic stress disorder (PTSD) - needs dosage adjustment,"Sertraline, Paroxetine, Prazosin"
"autism spectrum disorder (irritability), outpatient follow-up","Risperidone, Aripiprazole, Guanfacine"
acute stress,"Clonazepam, Propranolol, Hydroxyzine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"brief psychotic disorder, suicidal ideation present","Haloperidol, Risperidone, Olanzapine"
Severe Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
History of Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"autism spectrum disorder (irritability), suicidal ideation present","Risperidone, Aripiprazole, Guanfacine"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Cyclothymic disorder - compliant with meds,"Valproate, Lithium, Lamotrigine"
attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"delusional disorder, high anxiety levels","Aripiprazole, Risperidone, Pimozide"
Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
"bulimia nervosa, cognitive decline","Fluoxetine, Topiramate, Sertraline"
Bulimia nervosa - patient stable,"Fluoxetine, Topiramate, Sertraline"
Acute exacerbation of Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
patient presents with panic disorder,"Alprazolam, Clonazepam, Paroxetine"
patient presents with opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Mild Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
assessment: primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"dsm-5 diagnosis: bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Severe Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"borderline personality disorder, patient stable","Lamotrigine, Aripiprazole, Fluoxetine"
Confirmed Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
High risk of Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Adjustment disorder with depressed mood - outpatient follow-up,"Escitalopram, Sertraline, Bupropion"
Suspected Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"major depressive disorder, recurrent, experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
Autism spectrum disorder (irritability) - agitated behavior,"Risperidone, Aripiprazole, Guanfacine"
Bulimia nervosa - worsening symptoms,"Fluoxetine, Topiramate, Sertraline"
"Severe Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Seasonal affective disorder - suicidal ideation present,"Bupropion, Fluoxetine, Sertraline"
suspected anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
severe borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"primary insomnia, worsening symptoms","Zolpidem, Eszopiclone, Trazodone"
chronic primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
suspected obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Nicotine dependence - mood swings reported,"Varenicline, Bupropion, Nicotine patch"
suspected bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Schizoaffective disorder - resistant to therapy,"Paliperidone, Clozapine, Haloperidol"
history of anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"bipolar i disorder, manic episode, resistant to therapy","Lithium, Valproate, Quetiapine"
"schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
confirmed agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"Major depressive disorder, recurrent - suicidal ideation present","Venlafaxine, Duloxetine, Bupropion"
Nicotine dependence - experiencing hallucinations,"Varenicline, Bupropion, Nicotine patch"
confirmed narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Agoraphobia - requires hospitalization,"Paroxetine, Sertraline, Fluoxetine"
suspected seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
High risk of Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Anorexia nervosa - compliant with meds,"Olanzapine, Fluoxetine, Mirtazapine"
"chronic bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
acute exacerbation of obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
assessment: panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Opioid dependence - cognitive decline,"Buprenorphine, Naltrexone, Methadone"
"seasonal affective disorder, suicidal ideation present","Bupropion, Fluoxetine, Sertraline"
history of nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"dsm-5 diagnosis: schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
assessment: alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Assessment: Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Confirmed Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Bipolar II disorder - first psychotic episode,"Lamotrigine, Lithium, Quetiapine"
Bulimia nervosa - agitated behavior,"Fluoxetine, Topiramate, Sertraline"
Tourette's disorder - patient stable,"Haloperidol, Pimozide, Clonidine"
Alcohol dependence - suicidal ideation present,"Naltrexone, Acamprosate, Disulfiram"
Mild Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"agoraphobia, agitated behavior","Paroxetine, Sertraline, Fluoxetine"
patient presents with body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
history of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Agoraphobia - experiencing hallucinations,"Paroxetine, Sertraline, Fluoxetine"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Acute exacerbation of Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
suspected acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
major depressive,"Sertraline, Fluoxetine, Escitalopram"
Major depressive,"Sertraline, Fluoxetine, Escitalopram"
"panic disorder, worsening symptoms","Alprazolam, Clonazepam, Paroxetine"
"schizotypal personality disorder, high anxiety levels","Risperidone, Olanzapine, Haloperidol"
mild bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Alcohol dependence - experiencing hallucinations,"Naltrexone, Acamprosate, Disulfiram"
acute exacerbation of adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
patient presents with attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Acute exacerbation of Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
severe nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Persistent depressive disorder (Dysthymia) - outpatient follow-up,"Citalopram, Sertraline, Mirtazapine"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"history of bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"opioid withdrawal, patient stable","Buprenorphine, Methadone, Clonidine"
Social anxiety disorder - first psychotic episode,"Sertraline, Propranolol, Venlafaxine"
"brief psychotic disorder, resistant to therapy","Haloperidol, Risperidone, Olanzapine"
"restless legs syndrome, worsening symptoms","Pramipexole, Ropinirole, Gabapentin"
assessment: schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Tourette's disorder - patient stable,"Haloperidol, Pimozide, Clonidine"
dsm-5 diagnosis: generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Bipolar II disorder - patient stable,"Lamotrigine, Lithium, Quetiapine"
chronic persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
dsm-5 diagnosis: panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"schizotypal personality disorder, requires hospitalization","Risperidone, Olanzapine, Haloperidol"
"Severe Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
"hoarding disorder, experiencing hallucinations","Venlafaxine, Paroxetine, Sertraline"
assessment: brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
acute stress,"Clonazepam, Propranolol, Hydroxyzine"
restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"panic disorder, agitated behavior","Alprazolam, Clonazepam, Paroxetine"
"Patient presents with Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
Major depressive,"Sertraline, Fluoxetine, Escitalopram"
Patient presents with Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
Acute stress disorder - patient stable,"Clonazepam, Propranolol, Hydroxyzine"
chronic opioid dependence,"Buprenorphine, Naltrexone, Methadone"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Obsessive-compulsive disorder - high anxiety levels,"Fluvoxamine, Clomipramine, Fluoxetine"
"bipolar i disorder, manic episode, mood swings reported","Lithium, Valproate, Quetiapine"
suspected post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
"primary insomnia, needs dosage adjustment","Zolpidem, Eszopiclone, Trazodone"
"persistent depressive disorder (dysthymia), experiencing hallucinations","Citalopram, Sertraline, Mirtazapine"
Schizoaffective disorder - high anxiety levels,"Paliperidone, Clozapine, Haloperidol"
patient presents with hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
mild nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
mild body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"agoraphobia, needs dosage adjustment","Paroxetine, Sertraline, Fluoxetine"
Confirmed Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
DSM-5 Diagnosis: Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
mild alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
bipolar i,"Lithium, Valproate, Quetiapine"
Nicotine dependence - suicidal ideation present,"Varenicline, Bupropion, Nicotine patch"
Chronic Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Anorexia nervosa - agitated behavior,"Olanzapine, Fluoxetine, Mirtazapine"
history of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
dsm-5 diagnosis: social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"schizophrenia, unspecified, agitated behavior","Risperidone, Olanzapine, Aripiprazole"
Patient presents with Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Schizoaffective disorder - poor sleep quality,"Paliperidone, Clozapine, Haloperidol"
dsm-5 diagnosis: opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"post-traumatic stress disorder (ptsd), needs dosage adjustment","Sertraline, Paroxetine, Prazosin"
assessment: anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"primary insomnia, mood swings reported","Zolpidem, Eszopiclone, Trazodone"
Suspected Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Primary insomnia - needs dosage adjustment,"Zolpidem, Eszopiclone, Trazodone"
"bipolar i disorder, depressed episode, agitated behavior","Lurasidone, Quetiapine, Lamotrigine"
"opioid dependence, suicidal ideation present","Buprenorphine, Naltrexone, Methadone"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Restless legs,"Pramipexole, Ropinirole, Gabapentin"
"binge-eating disorder, cognitive decline","Lisdexamfetamine, Topiramate, Fluoxetine"
"persistent depressive disorder (dysthymia), worsening symptoms","Citalopram, Sertraline, Mirtazapine"
Social anxiety disorder - agitated behavior,"Sertraline, Propranolol, Venlafaxine"
"chronic bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Suspected Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Assessment: Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
confirmed binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"alcohol dependence, agitated behavior","Naltrexone, Acamprosate, Disulfiram"
"anorexia nervosa, requires hospitalization","Olanzapine, Fluoxetine, Mirtazapine"
