diagnosis,severity
"Gastro-esophageal reflux with esophagitis - uncomfortable episode, managing with meds",MEDIUM
"E03.9: Hypothyroidism, unspecified (recurring symptoms)",MEDIUM
"Emphysema, unspecified - severe presentation, urgent care needed",HIGH
Flare-up event due to Gastro-esophageal reflux with esophagitis,MEDIUM
Unspecified cirrhosis of liver,HIGH
"Routine exam due to Allergic rhinitis, unspecified",LOW
"Assessment: Pneumonia, unspecified organism",MEDIUM
Functional dyspepsia - self-limiting condition,LOW
End stage renal disease - fatal prognosis risk,HIGH
"Advanced stage, palliative care discussed due to End stage renal disease",HIGH
"F32.1 - Major depressive disorder, single episode, moderate",MEDIUM
I10 Essential (primary),MEDIUM
"assessment: abdominal aortic aneurysm, ruptured",HIGH
"Bacterial infection, unspecified (severe) - critical condition, ICU admission",HIGH
J30.1 Allergic rhinitis,LOW
"Advanced stage, palliative care discussed due to Acute respiratory failure, unspecified",HIGH
"Fatal prognosis risk due to Sepsis, unspecified organism",HIGH
E11.65: Type 2 diabetes with hyperglycemia (severe trauma protocol active),HIGH
Fatal prognosis risk due to Human immunodeficiency virus (HIV) disease,HIGH
"Severe presentation, urgent care needed due to Acute respiratory failure, unspecified",HIGH
E11.9: Type 2 diabetes mellitus without complications (needs specialist referral),MEDIUM
"R30.0: Dysuria (minor condition, follow-up in 2 weeks)",LOW
A09: Infectious gastroenteritis and colitis (flare-up event),MEDIUM
"G40.909 Epilepsy, unspecified,",MEDIUM
"Minor pain, prescribed rest due to Conjunctivitis, unspecified",LOW
"D69.6: Thrombocytopenia, unspecified (uncomfortable episode, managing with meds)",MEDIUM
pain in problem,LOW
M54.5 Low back,LOW
L40.0: Psoriasis vulgaris (recurring symptoms),MEDIUM
"N40.0: Benign prostatic hyperplasia without obstruction (moderate symptoms, requires monitoring)",MEDIUM
"K02.9 - Dental caries, unspecified",LOW
F41.1: Generalized anxiety disorder (stable but requires medication adjustment),MEDIUM
"Post-traumatic stress disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
R30.0: Dysuria (slight discomfort reported),LOW
"acute pharyngitis, unspecified",LOW
"Patient presents with Migraine, unspecified, not intractable",MEDIUM
"F31.9: Bipolar disorder, unspecified (recurring symptoms)",MEDIUM
assessment: functional dyspepsia,LOW
S60.0 - Contusion of finger,LOW
"Thyrotoxicosis, unspecified - chronic condition, ongoing treatment",MEDIUM
"L30.9: Dermatitis, unspecified (no acute distress)",LOW
"Advanced stage, palliative care discussed due to Human immunodeficiency virus (HIV) disease",HIGH
"assessment: cerebral infarction, unspecified (stroke)",HIGH
"Thyrotoxicosis, unspecified - stable but requires medication adjustment",MEDIUM
"Crohn disease, unspecified - moderate symptoms, requires monitoring",MEDIUM
"panniculitis, unspecified",LOW
"I25.10: Atherosclerotic heart disease (chronic condition, ongoing treatment)",MEDIUM
"Advanced stage, palliative care discussed due to Type 1 diabetes with ketoacidosis",HIGH
"I73.9: Peripheral vascular disease, unspecified (chronic condition, ongoing treatment)",MEDIUM
"Minor pain, prescribed rest due to Nervousness",LOW
Unspecified cirrhosis of liver,HIGH
"Traumatic shock - advanced stage, palliative care discussed",HIGH
"I25.10: Atherosclerotic heart disease (uncomfortable episode, managing with meds)",MEDIUM
acute kidney problem,HIGH
"viral infection, unspecified",LOW
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Rheumatoid arthritis, unspecified",MEDIUM
"Post-traumatic stress disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
Follow-up required in 1 week due to Infectious gastroenteritis and colitis,MEDIUM
"malignant neoplasm of colon, unspecified",HIGH
Self-limiting condition due to Superficial injury of unspecified body region,LOW
"intracranial injury, problem",HIGH
J96.00 Acute respiratory,HIGH
"C43.9: Malignant melanoma of skin, unspecified (immediate surgery required)",HIGH
"Acute emergency, rapid response due to Cardiac arrest, cause unspecified",HIGH
Acne vulgaris - no acute distress,LOW
E11.65: Type 2 diabetes with hyperglycemia (fatal prognosis risk),HIGH
Malignant neoplasm of prostate - severe trauma protocol active,HIGH
"I25.10: Atherosclerotic heart disease (chronic condition, ongoing treatment)",MEDIUM
"K05.10: Chronic gingivitis (patient stable, outpatient treatment)",LOW
"Recurring symptoms due to Anemia, unspecified",MEDIUM
"N17.9: Acute kidney failure, unspecified (severe presentation, urgent care needed)",HIGH
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
"Needs specialist referral due to Mild intermittent asthma, uncomplicated",MEDIUM
"hydrocephalus, unspecified",HIGH
Lateral epicondylitis - self-limiting condition,LOW
"epilepsy, unspecified, not intractable",MEDIUM
"Disseminated intravascular coagulation - acute emergency, rapid response",HIGH
"C18.9: Malignant neoplasm of colon, unspecified (fatal prognosis risk)",HIGH
"sepsis, unspecified organism",HIGH
myalgia,LOW
"Severe presentation, urgent care needed due to End stage renal disease",HIGH
"Fatal prognosis risk due to Bacterial infection, unspecified (severe)",HIGH
Contusion of finger,LOW
"Post-traumatic stress disorder, unspecified - moderate symptoms, requires monitoring",MEDIUM
"Pulmonary embolism without acute cor pulmonale - critical condition, ICU admission",HIGH
"heart failure, unspecified",HIGH
"I50.9: Heart failure, unspecified (acute emergency, rapid response)",HIGH
Needs specialist referral due to Generalized anxiety disorder,MEDIUM
"Hypothyroidism, unspecified - moderate symptoms, requires monitoring",MEDIUM
"pneumonia, unspecified organism",MEDIUM
"Patient stable, outpatient treatment due to Otitis media, unspecified",LOW
"L60.0: Ingrowing nail (patient stable, outpatient treatment)",LOW
A09 - Infectious gastroenteritis and colitis,MEDIUM
"Urticaria, unspecified - patient stable, outpatient treatment",LOW
I25.10: Atherosclerotic heart disease (follow-up required in 1 week),MEDIUM
"Patient stable, outpatient treatment due to Unspecified abdominal pain",LOW
"Moderate symptoms, requires monitoring due to Thyrotoxicosis, unspecified",MEDIUM
pulmonary embolism problem,HIGH
R30.0 - Dysuria,LOW
E11.9 Type 2,MEDIUM
M81.0: Age-related osteoporosis without fracture (follow-up required in 1 week),MEDIUM
"Viral infection, unspecified - minor condition, follow-up in 2 weeks",LOW
"T79.4: Traumatic shock (life-threatening, immediate intervention)",HIGH
Suspected Nervousness,LOW
"Panniculitis, unspecified - routine exam",LOW
"C71.9: Malignant neoplasm of brain, unspecified (advanced stage, palliative care discussed)",HIGH
"Confirmed case of Allergy, unspecified",LOW
"Pneumonia, unspecified organism - flare-up event",MEDIUM
"K57.30: Diverticulosis of large intestine (moderate symptoms, requires monitoring)",MEDIUM
Confirmed case of End stage renal disease,HIGH
suspected contusion of finger,LOW
"Assessment: Otitis media, unspecified",LOW
"Viral wart, unspecified - mild symptoms, no complications",LOW
"Malignant melanoma of skin, unspecified - critical condition, ICU admission",HIGH
"I73.9: Peripheral vascular disease, unspecified (follow-up required in 1 week)",MEDIUM
"Acute kidney failure, unspecified",HIGH
Pain in unspecified joint - no acute distress,LOW
"Nervousness - minor condition, follow-up in 2 weeks",LOW
K72.00 Acute and,HIGH
L70.0 - Acne vulgaris,LOW
"Panniculitis, unspecified - minor pain, prescribed rest",LOW
"Uncomfortable episode, managing with meds due to Atopic dermatitis, unspecified",MEDIUM
Assessment: Atherosclerotic heart disease,MEDIUM
G47.33: Obstructive sleep apnea (flare-up event),MEDIUM
"Lateral epicondylitis - minor pain, prescribed rest",LOW
"E03.9: Hypothyroidism, unspecified (needs specialist referral)",MEDIUM
"H66.90: Otitis media, unspecified (self-limiting condition)",LOW
"Schizophrenia, unspecified - fatal prognosis risk",HIGH
A09 Infectious gastroenteritis,MEDIUM
L40.0 - Psoriasis vulgaris,MEDIUM
"malignant neoplasm of brain, unspecified",HIGH
"C71.9: Malignant neoplasm of brain, unspecified (severe trauma protocol active)",HIGH
Psoriasis vulgaris - needs specialist referral,MEDIUM
vitamin e deficiency,LOW
"Spondylosis with radiculopathy, cervical - chronic condition, ongoing treatment",MEDIUM
C34.90: Malignant neoplasm of unspecified part of bronchus or lung (immediate surgery required),HIGH
Stable but requires medication adjustment due to Chronic viral hepatitis C,MEDIUM
"G43.909: Migraine, unspecified, not intractable (needs specialist referral)",MEDIUM
"Patient presents with Thrombocytopenia, unspecified",MEDIUM
"epilepsy, unspecified, not intractable",MEDIUM
"Migraine, unspecified, not intractable - follow-up required in 1 week",MEDIUM
acute nasopharyngitis problem,LOW
spondylosis with problem,MEDIUM
Routine exam due to Contusion of finger,LOW
"Uncomfortable episode, managing with meds due to Thrombocytopenia, unspecified",MEDIUM
"Acute pharyngitis, unspecified - patient stable, outpatient treatment",LOW
G12.21 - Amyotrophic lateral sclerosis (ALS),HIGH
Routine exam due to Pain in unspecified joint,LOW
"Acute myocardial infarction, unspecified - immediate surgery required",HIGH
"emphysema, unspecified",HIGH
"Moderate symptoms, requires monitoring due to Chronic viral hepatitis C",MEDIUM
"Life-threatening, immediate intervention due to Pulmonary embolism without acute cor pulmonale",HIGH
"Follow-up required in 1 week due to Peripheral vascular disease, unspecified",MEDIUM
"Minor condition, follow-up in 2 weeks due to Myalgia",LOW
Follow-up required in 1 week due to Infectious gastroenteritis and colitis,MEDIUM
"M06.9: Rheumatoid arthritis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"K29.70 - Gastritis, unspecified",LOW
"Acute kidney failure, unspecified",HIGH
"Acute nasopharyngitis (common cold) - patient stable, outpatient treatment",LOW
"Conjunctivitis, unspecified - minor condition, follow-up in 2 weeks",LOW
"D50.9: Iron deficiency anemia, unspecified (slight discomfort reported)",LOW
J80 Acute respiratory,HIGH
"malignant melanoma of skin, unspecified",HIGH
"Acute tonsillitis, unspecified - minor pain, prescribed rest",LOW
"M47.812: Spondylosis with radiculopathy, cervical (chronic condition, ongoing treatment)",MEDIUM
"N18.3: Chronic kidney disease, stage 3 (flare-up event)",MEDIUM
suspected type 2 diabetes with hyperglycemia,HIGH
"Post-traumatic stress disorder, unspecified - flare-up event",MEDIUM
"Assessment: Dermatitis, unspecified",LOW
infectious gastroenteritis problem,MEDIUM
Stable but requires medication adjustment due to Gastro-esophageal reflux with esophagitis,MEDIUM
"J45.20: Mild intermittent asthma, uncomplicated (needs specialist referral)",MEDIUM
Liver cell carcinoma - fatal prognosis risk,HIGH
"Essential (primary) hypertension - chronic condition, ongoing treatment",MEDIUM
G47.33: Obstructive sleep apnea (follow-up required in 1 week),MEDIUM
"K74.60: Unspecified cirrhosis of liver (severe presentation, urgent care needed)",HIGH
"G35: Multiple sclerosis (severe presentation, urgent care needed)",HIGH
"I73.9: Peripheral vascular disease, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Uncomfortable episode, managing with meds due to Ulcerative colitis, unspecified",MEDIUM
acute respiratory distress syndrome,HIGH
"Flare-up event due to Thrombocytopenia, unspecified",MEDIUM
"Acute myocardial infarction, unspecified - immediate surgery required",HIGH
"Sepsis, unspecified organism",HIGH
"J30.9: Allergic rhinitis, unspecified (slight discomfort reported)",LOW
Unspecified cirrhosis of liver - severe trauma protocol active,HIGH
"Dysuria - mild symptoms, no complications",LOW
"H10.9: Conjunctivitis, unspecified (mild symptoms, no complications)",LOW
Assessment: Pulmonary embolism without acute cor pulmonale,HIGH
"T14.0: Superficial injury of unspecified body region (minor condition, follow-up in 2 weeks)",LOW
iron deficiency problem,LOW
"B07.9: Viral wart, unspecified (patient stable, outpatient treatment)",LOW
Confirmed case of Diverticulosis of large intestine,MEDIUM
"Mild symptoms, no complications due to Chronic gingivitis",LOW
"Suspected Dermatitis, unspecified",LOW
M25.50 Pain in,LOW
"Advanced stage, palliative care discussed due to Multiple sclerosis",HIGH
"Chronic condition, ongoing treatment due to Thrombocytopenia, unspecified",MEDIUM
"E05.90: Thyrotoxicosis, unspecified (flare-up event)",MEDIUM
"D64.9: Anemia, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Chronic kidney disease, stage 3 - flare-up event",MEDIUM
"Multiple sclerosis - advanced stage, palliative care discussed",HIGH
"Suspected Atopic dermatitis, unspecified",MEDIUM
"bipolar disorder, unspecified",MEDIUM
confirmed case of pulmonary embolism without acute cor pulmonale,HIGH
unspecified abdominal problem,LOW
"Acute emergency, rapid response due to Abdominal aortic aneurysm, ruptured",HIGH
"suspected rheumatoid arthritis, unspecified",MEDIUM
confirmed case of essential (primary) hypertension,MEDIUM
"Severe trauma protocol active due to Cerebral infarction, unspecified (stroke)",HIGH
"Mild symptoms, no complications due to Viral infection, unspecified",LOW
"C71.9: Malignant neoplasm of brain, unspecified (advanced stage, palliative care discussed)",HIGH
"acute upper respiratory infection, unspecified",LOW
"Migraine, unspecified, not intractable - chronic condition, ongoing treatment",MEDIUM
"Routine exam due to Gastritis, unspecified",LOW
"Multiple sclerosis - acute emergency, rapid response",HIGH
"Acute emergency, rapid response due to Acute and subacute hepatic failure",HIGH
"Acute bronchitis, unspecified - stable but requires medication adjustment",MEDIUM
"J02.9 Acute pharyngitis,",LOW
"Impacted cerumen, unspecified ear - no acute distress",LOW
"J03.90: Acute tonsillitis, unspecified (minor pain, prescribed rest)",LOW
"S06.9 Intracranial injury,",HIGH
"N17.9: Acute kidney failure, unspecified (critical condition, ICU admission)",HIGH
"Advanced stage, palliative care discussed due to Malignant neoplasm of brain, unspecified",HIGH
S60.0: Contusion of finger (slight discomfort reported),LOW
"Hypothyroidism, unspecified - uncomfortable episode, managing with meds",MEDIUM
"confirmed case of ulcerative colitis, unspecified",MEDIUM
History of Traumatic shock,HIGH
"Acute and subacute hepatic failure - life-threatening, immediate intervention",HIGH
"history of emphysema, unspecified",HIGH
"C71.9: Malignant neoplasm of brain, unspecified (immediate surgery required)",HIGH
B20 - Human immunodeficiency virus (HIV) disease,HIGH
"patient presents with post-traumatic stress disorder, unspecified",MEDIUM
peripheral vascular problem,MEDIUM
Psoriasis vulgaris,MEDIUM
Confirmed case of Disseminated intravascular coagulation,HIGH
"I71.3 - Abdominal aortic aneurysm, ruptured",HIGH
"Malignant melanoma of skin, unspecified",HIGH
"C34.90: Malignant neoplasm of unspecified part of bronchus or lung (critical condition, ICU admission)",HIGH
"B18.2: Chronic viral hepatitis C (chronic condition, ongoing treatment)",MEDIUM
